HGNC symbol	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
AMPD1	114673090	114695618	1
ADAMTS7P1	82298553	82334609	15
TMEM106C	47963569	47968878	12
PAIP2	139341587	139369720	5
DPP7	137110546	137115177	9
GOLGA6L10	82339998	82349475	15
CCDC32	40528683	40565057	15
	89919827	89922662	16
	173644231	173644711	3
NLGN1-AS1	173910498	173920796	3
CHRNB2	154567781	154580026	1
LINC01569	4243943	4253817	16
MED15P9	130129621	130139417	2
LINC00892	136639543	136642429	X
BIVM-ERCC5	102799110	102875994	13
RING1	33378855	33383082	CHR_HSCHR6_MHC_MCF_CTG1
COX5BP2	136034553	136034886	6
VWDE	12330885	12403941	7
	28405240	28406796	17
	135991936	136225751	6
	28373256	28373562	17
SP6	47844908	47855874	17
VTN	28367284	28373091	17
	154579065	154579663	1
	59052980	59054184	12
	58920639	59064238	12
MRPL15	54135210	54147901	8
RPS6P22	59020169	59020894	12
MACROD2-AS1	14884253	14929515	20
LINC02230	73337906	73338533	5
MRPL45	38097522	38123634	CHR_HSCHR17_7_CTG4
	59366218	59411171	12
	139364677	139369717	5
MACROD2-IT1	14554384	14636524	20
	26462756	26467282	1
FEZ1	125442881	125592568	11
LINC02448	59523278	59524184	12
CHKA	68052859	68121444	11
RNF11P2	14547184	14547623	20
RPL7P61	163152251	163153307	2
DHDDS	26432282	26471306	1
MACROD2	13995369	16053197	20
FIGN	163593396	163736012	2
	53500162	53500936	12
	50286244	50289231	12
KRT13	41500981	41505705	17
	12563151	12567351	10
TARBP2	53500921	53506431	12
CAMK1D	12349482	12835545	10
ZNF45	43912624	43935282	19
NME1	51153536	51162428	17
HAP1	41717742	41734644	17
AOC1	150824627	150861504	7
	43902001	43926545	19
	28361601	28362859	17
	40488041	40558019	15
RPL36AP10	88577880	88578201	1
PKN2-AS1	87620803	88685204	1
ZNF34	144773114	144787345	8
SLC46A1	28394642	28407197	17
OR5R1	56417258	56418232	11
	15743196	15743582	4
AKAP11	42272152	42323261	13
OR5M4P	56448668	56449592	11
	133325997	133326404	8
	133392211	133392690	8
ST13P6	133408006	133409107	8
	88498309	88498676	1
	87805286	87808372	1
OR5M9	56462469	56463401	11
	88313153	88313302	1
ELOCP19	88829102	88829419	1
OR5M3	56469274	56473352	11
	68050740	68053762	11
KIAA0513	85027751	85094230	16
	56459221	56473352	11
	32725248	32725660	12
TCIRG1	68039025	68050895	11
	32736930	32737660	12
	1503250	1509452	1
	243005845	243007468	CHR_HSCHR1_3_CTG32_1
	32728169	32729024	12
	32692504	32692848	12
LINC01347	243029512	243047869	CHR_HSCHR1_3_CTG32_1
EDA	69616067	70039472	X
TRIM15	30153602	30163092	CHR_HSCHR6_MHC_SSTO_CTG1
FABP3P2	42369259	42369657	13
	32408013	32408309	17
	95413456	95414296	2
	32410159	32410746	17
LINC02341	42339188	42485956	13
FAHD2A	95402708	95416616	2
	117719240	117722097	5
	32411217	32412420	17
	243056307	243101744	CHR_HSCHR1_3_CTG32_1
CCAR2	22604632	22621514	8
	47863342	47865190	17
	63698596	63698764	11
	47879472	47882398	17
SYNE3	95407266	95475836	14
	28364288	28368012	17
	1249777	1251334	1
	47891255	47895812	17
LINC00847	180830326	180839742	5
	28357647	28381697	17
TNFSF11	42562736	42608013	13
RPS10P2	14757563	14758056	20
	14933843	14935363	20
FLRT3	14322985	14337614	20
LSM11	157743712	157760709	5
FAM186A	50326230	50396622	12
	180833928	180835726	5
ELOF1	11551147	11559236	19
HEIH	180826871	180831605	5
	32434939	32435028	17
	32430967	32432841	17
EIF4A3	80134369	80147183	17
	48936582	48936880	4
PSMD11	32444379	32483319	17
FILNC1	139677639	139860476	6
	157747504	157747707	5
	66751752	66754740	16
ENSAP1	15619494	15619819	20
AIMP1P1	14127400	14128336	20
	70037840	70039325	X
CNOT7P1	69937166	69938017	X
	73831572	73836019	17
	41500983	41502409	17
	73894749	73911878	17
TERB1	66754976	66801620	16
	73926421	73949906	17
MED22	133338323	133348131	9
LINC02074	74043452	74154212	17
GNLY	85685175	85698854	2
LARP4	50392383	50480004	12
	12452103	12452481	12
CCDC80	112596794	112649530	3
	139856104	139877391	6
FAM110C	38814	46870	2
BORCS5	12357078	12471233	12
KRT127P	52751978	52753821	12
ARL2BPP2	52763405	52763893	12
CKM	45306413	45322875	19
KRT76	52768155	52777345	12
EDDM3B	20768427	20770948	14
	197569	202605	2
CHEK1	125625136	125676255	11
	46390255	46510194	4
GABRA2	46248427	46475230	4
HLA-DQB2	32847708	32855144	CHR_HSCHR6_MHC_SSTO_CTG1
	74209980	74213342	17
PRPS1P1	164213539	164214414	2
CYP2C56P	164321933	164322223	2
SYNRG	37519433	37614077	CHR_HSCHR17_7_CTG4
KNDC1	133160219	133226412	10
	163749573	164352223	2
RPL38	74203582	74210655	17
ARHGAP36	131058346	131089885	X
BNIP3P27	21826513	21827279	19
SLC26A8	35943514	36024868	6
ZNF43	21804949	21852125	19
TNFRSF1B	12166991	12209228	1
IL23A	56334174	56340410	12
	59719698	59719944	12
PLPPR4	99263953	99309590	1
SLC16A7	59596029	59789855	12
APOM	31643159	31648952	CHR_HSCHR6_MHC_SSTO_CTG1
RPL7P8	109651370	109652099	1
RBP7	9997206	10016021	1
DRC1	26401920	26456711	2
	34174886	34184895	8
FTLP13	22221221	22221605	17
COL26A1	101362875	101559024	7
	34229294	34248946	8
	34228439	34346731	8
FAM92B	85098358	85112472	16
RPL10AP3	34322992	34323642	8
	70687142	70691824	2
LINC02002	22234328	22266362	17
RNASE6	20781268	20782467	14
LINC01288	34784052	34864798	8
ADD2	70607618	70768225	2
	22266425	22288133	17
	22277867	22279289	17
	20783888	20784293	14
	34874159	34874633	8
FAM27E5	22298691	22299893	17
	15144760	15175928	CHR_HSCHR16_1_CTG1
RNASE1	20801228	20802855	14
LINC02139	85137150	85149443	16
	85142696	85146001	16
	154333960	154335037	X
	140435316	140435787	7
FRG2HP	35335277	35336889	16
RPS26P42	75125217	75125862	10
RARRES2P9	35344091	35344559	16
AGGF1P9	35347385	35348297	16
PDXDC1	15241230	15297417	CHR_HSCHR16_1_CTG1
SAMD8	75099586	75182123	10
GOLGA6L9	82430018	82439153	15
RPS16P9	45332698	45333124	19
HSPE1P11	35023522	35023831	6
	35070871	35071049	6
DUSP16	12474210	12562383	12
ANKS1A	34889255	35091406	6
	139976352	140093721	6
	178165702	178166562	5
STAT2	56341597	56360167	12
UBE2Q2P2	82355142	82420075	15
TFAP4	4257186	4273075	16
	74209976	74213660	X
FCGRT	49506816	49526333	19
BAG6	31629769	31643448	CHR_HSCHR6_MHC_SSTO_CTG1
FTX	73940435	74293574	X
RPL10P17	12220794	12221109	1
	82418651	82434235	15
RPL9P9	82372196	82372912	15
	140575788	140898381	6
	140845958	140852924	6
	133338990	133339465	9
RPS3AP24	140761529	140762262	6
	52782650	52782839	12
	85686053	85687047	2
FADS3	61873519	61892051	11
GPR179	38126026	38144226	CHR_HSCHR17_7_CTG4
KRT3	52789685	52796117	12
AWAT2	70040542	70049938	X
DUSP13	75094432	75109221	10
	101388868	101389080	7
ZFP62	180847611	180861285	5
	32423971	32446038	17
TOX	58805412	59119147	8
RPL7L1P4	117778826	117779532	5
LINC02147	117925008	118266035	5
DRD5	9781680	9784009	4
	12485353	12491581	12
LINC02148	118282575	118284782	5
C2orf69P4	35352482	35353022	16
	43705949	43706751	6
	10006482	10009725	4
	117300861	117322236	7
OTUD6A	70062491	70064179	X
AGGF1P4	35389203	35390003	16
WNT2	117275451	117323289	7
FRG2GP	35384144	35385086	16
SLC2A9	9771153	10054936	4
LINC01566	35363412	35390584	16
MTCYBP31	70120353	70121474	X
SEC11C	59139866	59158832	18
MTND4P31	70124972	70129071	X
TTK	80003887	80042527	6
FRG2IP	35405747	35407349	16
	59119040	59121346	8
RARRES2P7	35414279	35414747	16
	42497394	42532840	15
	12568201	12568776	12
AGGF1P5	35420291	35421209	16
LRRC57	42537820	42548802	15
ATOH8	85751344	85791383	2
C11orf95	63759892	63768775	11
	174302944	174303287	3
	58991720	58992938	8
OR5M2P	56476287	56484839	11
RPL21P136	12614359	12615907	12
	80147250	80148596	17
CREBL2	12611827	12645108	12
	59557528	59557855	8
	174377244	174378005	3
OR5M8	56490349	56491395	11
	80149627	80149798	17
	121674261	121928976	11
C2orf69P3	35425364	35426483	16
	52199840	52203235	X
AP1M1	16197578	16245907	19
GSTM1	109687814	109709039	1
	85815130	85825391	2
	121979571	122025937	11
	35435303	35436341	16
	133516184	133516268	8
	133515506	133515745	8
UTF1	133230217	133231558	10
ST3GAL1	133454848	133571940	8
	52326166	52326762	X
IGBP1	70133447	70166324	X
	15172578	15187178	CHR_HSCHR16_1_CTG1
ZNF971P	35446898	35449411	16
XAGE2	52369021	52375680	X
TPI1P4	49016682	49017154	4
	42497395	42548786	15
CWH43	48986275	49062081	4
NBPF15	144421386	144461674	1
	164573741	164574054	2
GRB14	164492812	164621848	2
NPIPA1	15144756	15171447	CHR_HSCHR16_1_CTG1
FST	53480626	53487134	5
VENTX	133237855	133241928	10
NPM1P8	32205902	32206738	X
IGBP1-AS1	70163842	70165206	X
	31411033	31413701	X
IGBP1-AS2	70148582	70149654	X
	12648939	12649713	12
	43722786	43737834	6
	101449801	101449933	9
LINC02208	118468156	118562117	5
FRG2DP	35477414	35480481	16
PDLIM5	94451857	94668227	4
	22331597	22332410	17
	52382053	52385614	X
LINC01422	26858634	26865786	22
	22406019	22413744	17
	22420022	22424731	17
	26886909	26887548	22
SNX2P2	31941261	31941583	7
	22435390	22439033	17
GPR19	12660890	12696207	12
	26903292	26920611	22
TMEM246-AS1	101468439	101481502	9
	22519195	22519504	17
MTCYBP13	22519617	22520709	17
PPP1R8P1	48325080	48326123	1
	27019369	27024550	22
SPATA6	48295373	48472208	1
MTND1P15	22524738	22525686	17
	22524563	22525330	17
MTRNR2L1	22523111	22524663	17
DPRXP2	35989515	35991374	6
SLC6A2	55655604	55706192	16
PRSS16	27247701	27256624	6
	101501643	101501885	9
TMEM246	101473170	101533537	9
	12668982	12685075	12
TAPBP	33277619	33292309	CHR_HSCHR6_MHC_DBB_CTG1
	52409772	52410432	X
	9922814	9924146	4
MIR202HG	133246478	133247891	10
	162424042	163437326	5
B3GALT4	33205959	33207652	CHR_HSCHR6_MHC_QBL_CTG1
	56982749	56985104	17
	52422069	52459066	X
LINC02216	118575575	118581324	5
	52448587	52451138	X
SCPEP1	56978105	57006768	17
RARRES2P10	35485766	35486225	16
LINC02215	118596188	118628092	5
CCDC30	42463330	42654664	1
	47912207	47912504	18
	163416525	163416731	5
	47866839	47867367	18
MRPL57P6	163039291	163039599	5
	118760474	118785459	5
MTCO2P2	47853233	47853457	18
ARL2BPP5	162761833	162762313	5
	54191582	54192035	8
	56495760	56496412	11
	54247633	54247906	8
	47878295	47882444	18
SP2	47896150	47928957	17
SMAD2	47808957	47931146	18
PTMAP2	118973796	118974122	5
DTWD2	118836074	118988547	5
CD38	15778275	15853232	4
MIR100HG	122028327	122556721	11
KCNH2	150944961	150978315	7
ANKRD28	15667236	15859771	3
SLC9A3R2	2025356	2039026	16
DDX3P1	74121012	74131923	X
TEPSIN	81228277	81239091	17
RPSAP14	74031462	74031820	X
CD40LG	136648193	136660390	X
BMP2KL	74185929	74187153	X
	73948973	73949558	X
HLA-DOB	32903640	32907925	CHR_HSCHR6_MHC_SSTO_CTG1
PFN1P6	144442606	144443004	1
	69975238	69975344	16
	74066083	74066592	X
JPX	73944184	74070408	X
	47929682	47933106	17
KRT4	52806549	52814116	12
SP2-AS1	47897330	47941410	17
C6orf120	169702190	169704856	6
PHF10	169703902	169725566	6
	140922457	140922910	6
	141019788	141020026	6
	141447011	141451006	6
RPS3AP23	141635650	141636503	6
	74122134	74122725	X
DDX3P2	74133004	74133114	X
RAB11FIP1P1	74202834	74204595	X
OR11Q1P	131204068	131205010	X
ATP5MDP1	74173890	74174066	X
	73958059	73969485	X
	131221196	131221436	X
UHRF2P1	74105572	74107958	X
MKRN5P	74161062	74162528	X
	144472535	144474790	1
	74069276	74070832	X
PPIAL4F	144592868	144593527	1
	99464378	99464776	1
LINC01708	99472332	99600995	1
	95434759	95435113	2
	95436133	95436556	2
B3GNTL1	82942155	83051810	17
KRT79	52821410	52834295	12
ZSCAN25	99616946	99632408	7
PPCS	42456117	42473385	1
BLID	122115354	122116215	11
	122294938	122301763	11
	122295190	122308019	11
AGGF1P6	35489237	35490212	16
GMCL2	178184503	178187432	5
	20870278	20873592	14
OR5M7P	56500300	56501271	11
PAX4	127610292	127618075	7
	56509573	56510195	11
	48435967	48437223	1
	42491739	42492493	1
TMSB4XP1	42500205	42500339	1
PSG1	42866464	42879822	19
ZMYND12	42430329	42456253	1
PAEP	135561756	135566955	9
	81228707	81233983	17
NEU1	31857659	31862906	6
	148146471	148208880	4
LINC01632	144627192	144642372	1
NR3C2	148078762	148444698	4
	144965025	144965135	1
	144661200	144679513	1
COL8A2	36095239	36125222	1
SRGAP2B	144887265	145095528	1
PALMD	99646113	99694541	1
	26454653	26455187	1
LLPHP1	20721187	20721879	20
MRPS11P1	20854121	20854642	20
	20217577	20221700	7
	20970448	20972562	20
MTND2P13	22525899	22526937	17
NMTRS-TGA3-1	22528853	22528921	17
	22527324	22529570	17
STT3A	125591712	125625215	11
	21089696	21090509	20
ZNF70P1	33386065	33386688	CHR_HSCHR6_MHC_MCF_CTG1
MTATP6P3	22529934	22530609	17
LINC01495	22445688	22492019	11
MTCO3P13	22530612	22531392	17
LINC00237	21087604	21106358	20
	22531463	22531797	17
	42570970	42571390	1
	20296708	20311712	7
CREBZF	85659708	85682908	11
RPL7AP26	82490823	82491635	4
	35254344	35256605	8
TMEM150C	82483170	82562357	4
LSM12P1	35525176	35525763	8
KBTBD4	47572197	47578976	11
UNC5D	35235475	35796550	8
TMEM173	139475533	139482935	5
MOK	102224500	102305190	14
	20328299	20331747	7
	109693117	109693742	1
ITGB8	20330702	20415754	7
GSTM2	109668022	109709551	1
	22613908	22616657	8
	169725091	169725854	6
	169725504	169738992	6
	43951223	43967709	19
BIN3	22620418	22669148	8
HMGB1P25	9018293	9018899	2
RPL30P3	9081395	9081727	2
	9103440	9105114	2
UBTFL5	95450310	95451500	2
	95460144	95460336	2
	95468863	95469778	2
TRIM43B	95476967	95484731	2
	122129622	122183949	5
	144754572	144786606	1
	144641371	144919902	1
PTPMT1	47565430	47573461	11
SYNGAP1	33560260	33593877	CHR_HSCHR6_MHC_SSTO_CTG1
	95485541	95485805	2
	82494786	82496278	4
	85592266	85595720	16
	95486480	95488627	2
RPL24P2	21114723	21115197	20
LINC00311	85282958	85285963	16
	52837403	52837739	12
	95496022	95496531	2
GSE1	85169525	85676204	16
	95502791	95505059	2
	20874305	20875768	14
	3519275	3523197	2
	27040197	27041494	22
ADI1	3497366	3519531	2
HMGB3P10	99698242	99699178	1
FAM216B	42781550	42791549	13
RNASE3	20891399	20892348	14
	99638242	99638767	7
ZNF474	122129546	122153569	5
	69976297	70065948	16
TRIM64FP	95514827	95520107	2
	27044001	27045315	22
	27048144	27060518	22
NDUFS3	47565336	47584562	11
	3496956	3497428	2
	41828165	41829934	8
	20919361	20920299	14
	95525345	95532405	2
LINC01050	42810366	42812562	13
	20897985	20936255	14
	122154496	122156015	5
	20916766	20928580	14
	122128762	122154856	5
LINC00428	42842414	42842887	13
	59561327	59593701	8
	95525109	95526702	2
RNASE2	20955487	20956436	14
MIOX	50486784	50490648	22
RPS6KB2	67428460	67435401	11
FRRS1	99708632	99766631	1
RPL34P19	31983885	31984554	10
	106974833	107102988	9
	20983155	20985066	14
	55704119	55706422	16
	59812102	59812576	12
ZNF462	106863166	107013634	9
PGAM4P2	115764099	115764819	4
	60092864	60096071	12
CEP170	243124428	243255321	CHR_HSCHR1_3_CTG32_1
	60215994	60216384	12
	60418983	60419293	12
	127644685	127652012	7
	61231159	61232937	12
DUX4L52	61600067	61600843	12
DGAT2L6	70177483	70205545	X
	30819714	30819914	14
RPL12P5	30791098	30791489	14
	30821419	30821843	14
ARHGEF6	136665547	136780932	X
RAB15	64945814	64973226	14
	15731877	15732536	3
	15732252	15733470	3
SCFD1	30622112	30735812	14
UBE4B	10032832	10181239	1
EBI3	4229523	4237528	19
AWAT1	70234655	70240627	X
POMT2	77274956	77320884	14
	95536117	95536495	2
	95537969	95538469	2
MAP7D1	36155579	36180849	1
	95542730	95543230	2
PDXDC2P	70010751	70065945	16
OR7E102P	95546531	95547545	2
	50365652	50366086	12
TRIM51JP	95574901	95580769	2
MUC4	195744429	195789161	CHR_HSCHR3_3_CTG3
ATP1B4	120362085	120383249	X
	49365124	49366685	15
	49177610	49178741	15
HTATSF1P1	33408140	33410038	CHR_HSCHR6_MHC_MCF_CTG1
NPIPB14P	69976388	69996188	16
COPS2	49106068	49155661	15
	27391734	27397563	9
	22532166	22532522	17
	27529085	27543902	9
	22531876	22532172	17
	22567423	22568713	17
	22492112	22502846	11
MOB3B	27325209	27529814	9
	22606388	22606703	17
	43996896	44002836	19
	79850871	79851498	9
	62139999	62145643	12
RPS3P6	62021570	62022174	12
ZNF155	43967862	43998326	19
	22676695	22692618	17
	106978776	106979554	9
NUP54	76114659	76148444	4
KRT78	52837804	52849092	12
USP15	62260338	62417431	12
	22671433	22706703	17
	59601378	59613775	8
CYP3A5	99648194	99679998	7
	59760047	59760263	8
	22693325	22694831	17
TRDN-AS1	123389421	123510241	6
NPAP1P6	79863019	79866875	9
	59821124	59821433	8
	79874696	79886678	9
	59893856	59893942	8
IFNK	27524314	27526498	9
	60049587	60074715	8
	79889001	79892007	9
SLC2A13P1	60141821	60142142	8
GSTM4	109656099	109674836	1
	79913269	79915736	9
	79975023	79990064	9
	11202965	11203671	8
	136788286	136788787	X
	26981694	26982090	17
LINC01507	80030579	80034555	9
GAS2	22625509	22813055	11
RPL7P56	136791064	136791780	X
NPAP1P4	80357029	80360338	9
	26989189	26999941	17
YJU2	4247080	4269088	19
	123589711	123685323	6
MTCO1P51	80563571	80564630	9
	65082034	65094212	14
TRDN	123216339	123637093	6
	47577725	47578277	11
RPL12P9	29127701	29128188	21
MAP3K7CL	29077471	29175889	21
CELF1	47465933	47565569	11
GPX2	64939152	64942905	14
DPEP3	67975663	67980508	16
ASZ1	117363222	117428123	7
SND1-IT1	127997597	128000077	7
LRRC4	128027071	128032107	7
	4246339	4247358	19
	54268346	54270028	18
RPL19P13	11256020	11256602	8
	125495214	125499528	11
	65003325	65003767	14
LINC00529	11247626	11267865	8
POLI	54269404	54321266	18
CHURC1-FNTB	64914485	65061803	14
	11281364	11282501	8
CRYGS	186538441	186546702	3
ACRV1	125671522	125681123	11
	43976815	43977448	19
	127857852	127858488	7
	43978376	43978663	19
	44210442	44229512	22
	44183031	44187739	22
SND1	127652194	128092609	7
	73382384	73410509	5
PARVG	44172956	44219533	22
GPS2P2	186772589	186773476	3
	186698520	186708574	3
FOXD1-AS1	73446357	73446984	5
	186579476	186772986	3
FOXD1	73444827	73448777	5
	11283481	11285068	8
MTMR9	11284816	11328146	8
	41269916	41273997	9
CUL2	35008551	35090642	10
NRAS	114704469	114716771	1
CDK2AP2P1	41280460	41280787	9
	41276280	41282846	9
LINC01385	73451498	73453395	5
LINC01386	73454187	73472896	5
	73497550	73498293	5
MYO5BP1	41292887	41294125	9
	41310816	41332962	9
TMEM42	44861904	44865670	3
	41341000	41342041	9
MAX	65006174	65102695	14
	41479960	41480548	9
	41573156	41573453	9
LAMP2	120427827	120469365	X
PLP1	103773718	103792619	X
KIF15	44761721	44873376	3
BTF3	73498408	73505635	5
EI24	125569280	125584684	11
	185918140	185919460	4
COX6CP16	85278820	85279035	16
	85580009	85583571	16
KRT17P8	9127783	9128645	12
GINS2	85676198	85690073	16
	20769718	21374265	X
BTG1P1	9135084	9135591	12
HRG	186660216	186678240	3
PGAM1P11	10058671	10059648	1
	10054445	10054781	1
	196452996	196453055	3
RPS6KB2-AS1	67431367	67435399	11
NACAD	45080437	45088969	7
	85489813	85490831	16
	123519697	123557670	6
	3531813	3536873	2
RPL7P41	52885429	52886385	12
KNG1	186717276	186744410	3
	117439982	117440780	7
FUS	31180110	31194871	16
RNF168	196468783	196503768	3
PSMB4	151399560	151401937	1
FAM72D	145095974	145112696	1
RNASEH1	3541430	3558333	2
RANP4	136807223	136807877	X
ATAD3A	1512151	1534687	1
	196474801	196475394	3
	145139986	145148375	1
	21871446	21893996	18
	126652852	126682104	11
SMCO1	196506879	196515346	3
	41644771	41644981	9
	21914369	21914660	18
FANCF	22622890	22625841	11
	126992452	126995458	11
	41647825	41648035	9
KIRREL3-AS1	126543947	126610948	11
	41651658	41654594	9
	11315859	11325429	8
LINC01900	21981121	22051159	18
EGFR-AS1	55179750	55188934	7
RAB28P5	136847384	136848034	X
	136840931	136847797	X
TRAPPC3	36136570	36156053	1
NPM3	101781325	101783413	10
EGFR	55019017	55211628	7
RBMX	136848004	136880764	X
ST3GAL4	126355640	126440344	11
	95588149	95589253	2
FOSL2	28392448	28417317	2
WDR20	102139503	102224847	14
	30653877	30654814	22
SLC35E4	30635781	30669016	22
	99842610	99842761	1
	3531984	3547957	2
	95590969	95591206	2
	82571137	82571814	4
	82580117	82581384	4
KRT18	52948871	52952906	12
TRIM43	95592018	95599778	2
DUSP18	30652051	30667890	22
CERS6	168455862	168775137	2
COPS3	17246616	17281273	17
	28384409	28394672	2
PSG5	43166256	43186536	19
	28396815	28397110	2
	196527339	196528791	3
RPS29P3	196536532	196536702	3
LINC01864	56066684	56078801	19
LINC00575	82610974	82621610	4
	27102766	27107019	22
	27143478	27159878	22
RPS18	33442379	33446883	CHR_HSCHR6_MHC_MCF_CTG1
ZNF787	56087366	56121295	19
	27204211	27205126	22
LINC01638	27221349	27224727	22
	82691737	82692468	4
	82775461	82776101	4
	27276240	27286349	22
SCD5	82629539	82798796	4
LINC01007	101562779	101569006	7
NDUFS4	53560633	53683338	5
SOCS4	55027230	55049489	14
MKRN1	140453033	140479536	7
RPUSD2	40569299	40574949	15
ZBTB22	33292340	33295864	CHR_HSCHR6_MHC_DBB_CTG1
MYL10	101613325	101629296	7
MTND2P9	80565032	80565962	9
FAM227B	49326962	49620931	15
PDLIM1P3	27002661	27003259	17
G6PC2	168901240	168910000	2
RPS19P6	80782338	80782770	9
KRT8	52897187	52949954	12
	27307483	27318538	22
PSMD10P1	50913731	50914411	20
GTF2IP6	27019527	27047934	17
HSP90AA1	102080738	102139699	14
LINC02554	27310651	27317456	22
DPM1	50934867	50958555	20
	60404463	60404960	15
	27331787	27379265	22
LINC01127	101962056	101987167	2
	27414462	27419713	22
	60409234	60409420	15
	80869758	80871295	9
	27457247	27460060	22
RPS20P25	81410279	81410630	9
RPL21P104	61775923	61776400	12
	27563839	27573573	22
	29140483	29155489	17
ANXA11	80150889	80205572	10
FAM19A2	61708259	62279150	12
VN1R71P	27057399	27058221	17
TIAF1	29073521	29078857	17
	27707580	27709931	22
	27676559	27714970	22
	81488308	81488837	9
MAFG	81918270	81927735	17
OR5M6P	56512235	56513171	11
MYO18A	29071124	29180412	17
OR5M5P	56526568	56527503	11
TBCCD1	186546067	186570543	3
CERS6-AS1	168771953	168786961	2
OR5M11	56542262	56543281	11
EPSTI1	42886388	42992271	13
CLDN24	183321764	183322426	4
OR5M10	56576736	56577787	11
	183380345	183381705	4
CEACAMP8	43035869	43041248	19
	183418890	183419805	4
SHD	4278601	4290724	19
	21148741	21162890	20
OR5M13P	56597426	56598362	11
	95516136	95517911	14
PSG7	42924132	42937178	19
	47513605	47514889	11
	25336429	25337465	1
RPS15AP1	21166206	21166596	20
	25266102	25267136	1
OR5M1	56609236	56614874	11
RSRP1	25242249	25338213	1
	81922899	81924511	17
KIZ	21125983	21246622	20
OR5AM1P	56619779	56620810	11
HCG25	33419923	33425374	CHR_HSCHR6_MHC_MCF_CTG1
SIRT7	81911939	81921323	17
	112696908	112697706	3
SPC25	168834132	168913371	2
	57622034	57631647	16
OR5M12P	56628932	56629860	11
LINC02042	112736447	112749319	3
CDH23-AS1	71508153	71511873	10
SLC2A3	7919230	7936187	12
VSIR	71747556	71773520	10
OR5AP1P	56633164	56634103	11
BCL9	147541501	147626216	1
VPS52	33420661	33442416	CHR_HSCHR6_MHC_MCF_CTG1
TRAPPC3L	116494989	116545610	6
COL2A1	47972967	48004554	12
FNTB	64986895	65062652	14
	43153279	43160862	19
CEACAMP7	42949503	42950387	19
KLF17P1	62234390	62235515	12
TRIM26	30174807	30203783	CHR_HSCHR6_MHC_SSTO_CTG1
CEACAMP9	43096456	43097360	19
KRT8P19	61879318	61880772	12
LINC02105	53776644	53819686	5
PSG6	42902079	42919563	19
CDH23	71396934	71815947	10
ADGRG1	57610652	57665580	16
DNAJB11	186567403	186585800	3
ASS1P9	53859166	53860401	5
	116492297	116497099	6
	53880293	53881051	5
CALHM4	116529013	116558868	6
NOSTRIN	168786539	168865514	2
RAC1P2	46723830	46724408	4
C9orf72	27546545	27573866	9
MTFR2	136231024	136250335	6
ADAR	154582057	154628013	1
	119480279	119480775	8
FETUB	186635969	186653141	3
	71726975	71727992	16
GALK2	49155656	49367869	15
LEP	128241278	128257629	7
CALHM5	116511639	116524788	6
	128264526	128264889	7
PSG4	43192702	43207299	19
RPL22P23	136947748	136948133	X
	52480836	52481131	X
	133257144	133257551	10
SRRM1P3	136976417	136985705	X
CHURC1	64914361	64944591	14
	35491174	35492395	16
C2orf69P2	35492324	35493446	16
	136909369	137022143	X
CA8	60185412	60281400	8
	52481515	52483950	X
RBM22P6	52485046	52485912	X
	25247837	25248321	1
	35493754	35496457	16
SDHDP6	25294164	25294643	1
	74549399	74552737	17
XAGE1A	52495676	52500812	X
CD300H	74560701	74567343	17
	36008638	36014235	19
RNF126P1	57045478	57046797	17
ACP5	11574660	11579008	19
CD300LD	74579365	74592283	17
COX7B2	46734827	46909245	4
ZDHHC4P1	42933858	42934892	13
RBM28	128297685	128343908	7
SYNE4	36003307	36008813	19
	27716480	27721677	22
ADNP-AS1	50930984	50945134	20
C17orf77	74584679	74594209	17
LINC01145	145164099	145216058	1
CDKN2AIP	183444635	183449064	4
MN1	27748277	27801756	22
ADNP	50888916	50931437	20
	35505093	35506462	16
ZNF230	44002957	44013924	19
TP53TG3HP	35506592	35507170	16
	145214851	145215938	1
	68212401	68221671	16
	70079129	70079624	16
KARSP3	68002432	68004952	16
	12718973	12719521	12
	145233001	145233519	1
CDKN1B	12715058	12722369	12
DPEP2	67987394	68000586	16
PPIAL4D	145241630	145242124	1
	76758554	76801964	4
SHROOM3	76435229	76783253	4
	145269604	145269890	1
	145281116	145281462	1
	145286610	145287755	1
GLRX5	95533503	95544724	14
CCDC89	85683848	85686195	11
	31182511	31183285	16
	35528367	35529318	16
RARRES2P8	35543279	35543645	16
	57078298	57085024	17
RBM22P7	52509903	52510182	X
AGGF1P7	35547917	35548829	16
ZBTB9	33594767	33597736	CHR_HSCHR6_MHC_SSTO_CTG1
SNHG10	95532297	95534872	14
XAGE1B	52512077	52520803	X
AHSG	186613060	186621318	3
	44023604	44025262	19
AKT3	243488233	243855434	CHR_HSCHR1_3_CTG32_1
OPTN	13099449	13138308	10
	122436497	122479087	5
TMIGD2	4292232	4302431	19
TPT1P12	9155881	9156372	12
PZP	9148840	9208395	12
FOXR1	118971707	118981291	11
PAIP1P1	30177152	30178961	CHR_HSCHR6_MHC_SSTO_CTG1
	122321291	122323358	5
GABRA4	46918900	46993581	4
	154374595	154376934	X
OR5AP2	56641466	56642471	11
SNCAIP	122311354	122464219	5
	133573183	133573861	8
FLNA	154348524	154374638	X
	42977463	43171515	19
ALKBH6	36009120	36014239	19
PSG2	43064209	43083045	19
PSMD10P2	186760693	186762050	3
	186687329	186692506	3
CD200R1L	112815709	112846856	3
